,language
16,image target create stephen mcdonald overview cartridge shopping cart application build django framework bsd license design provide clean simple base develop commerce website purposely include conceivable feature commerce website instead cartridge focus provide core feature common commerce website specific focus stem idea commerce website different tailor particular business product hand easy customize possible cartridge achieve goal code base simple possible implement core feature commerce website cartridge extend mezzanine content management platform live demo cartridge find visit mezzanine live demo feature hierarchical category easily configurable product option colour size etc hook tax shipping calculation payment gateway sale pricing promotional discount code pdf invoice generation pack slip stock control product popularity thumbnail generation build test suite separation presentation embedded markup smart category price range colour etc registered anonymous checkout configurable number checkout step denormalise datum accessiblilty performance authenticate customer account transaction history dependency cartridge design plugin mezzanine content management platform require mezzanine instal integration application occur automatically follow installation instruction installation easy method install directly pypi pip run command install require dependency mention pip install cartridge download cartridge install directly source python install instal command mezzanine project create new mezzanine project cartridge instal similar fashion mezzanine project cartridge project_name project_name python createdb --noinput python runserver specify switch mezzanine project command tell use alternative package cartridge project template use mezzanine cartridge contain project template package contain module initial project like add cartridge exist mezzanine django project need manually configure faq section mezzanine documentation information note createdb command shortcut django migrate command install demo content contact form image gallery like omit step use --nodata option createdb able browse admin/ log default account username admin password default like specify different username password set simply exclude --noinput option include run createdb contributing cartridge open source project manage git mercurial version control system repository host github bitbucket respectively contribute easy fork project site commit enhancement note follow guideline contribute contribute code write exist style python decent extent javascript simple follow django code style importantly pep end css adhere bootstrap css guideline contribution available separately name branch base late version main branch run test commit change change cause test break accept add new functionality include basic test documentation quick start hack cartridge fork github internal project_template current project git clone cartridge git checkout new branch cartridge project_template project_name local_settings.py{.template python develop python cartridge project_template createdb --noinput python cartridge project_template runserver hack hack hack python test git commit -am message describe change git push origin new branch note cartridge development branch rely feature exist mezzanine development branch official release install mezzanine development version environment run pip install --upgrade stephenmcd mezzanine.git#egg mezzanine language translations cartridge make use translation string allow cartridge translate multiple language django internationalization methodology translation manage transiflex website submit github bitbucket consult documentation django internationalization methodology information create translation party module follow module develop outside cartridge develop module integrate mezzanine cartridge like list documentation send email mezzanine user mailing list add module mezzanine grid cartridge_braintree payment processor braintree cartridge external payment allow payment external provider platform cartridge tax implement handful sale tax model cartridge stripe alternative payment backend stripe cartridge pinpayment pin payment integration donate like donation continue development cartridge mezzanine project website support report security issue send email privately give chance fix issue create official release prior issue public cartridge support primary channel mezzanine user mailing list question comment related discussion place knowledgeable member community certain come bug use github issue tracker crucial information provide reproduce bug include thing python stack trace generate error page aspect development environment operating system database python version etc sure find reproducable bug try mailing list finally feel free drop mezzanine irc channel freenode chat communication cartridge mezzanine space expect conform django code conduct site cartridge ripe maternity cotton coopers store sheer ethic ross laird pink twig parfume planet life good brooklyn navy yard cotton asia manai glitter tactical bags charles koll jewelry puraforce remedy adrenaline peculiar store kisanhub kegbot amblitec zigzag bags justine katie bowtique art rebellion engineered art lipman art zhacker potrillo pie warwick friendly society pharmacies django bsd license mezzanine live demo mezzanine mezzanine project pip faq section mezzanine documentation south github bitbucket mezzanine user github issue tracker django code style pep bootstrap css guideline django code conduct transiflex mailto:core-team@mezzaninecms.com?subject=mezzanine+security+issue mezzanine irc channel mezzanine freenode django internationalization virtualenvwrapper mezzanine grid braintree stripe pin party lib cartridge_braintree cartridge external payment cartridge tax cartridge stripe cartridge pinpayment
17,monitoring tool build status](https://travis savoirfairelinux monitoring tools.svg?branch master)](https://travis savoirfairelinux monitoring tool documentation project sfl monitoring tool badge/?version project sfl monitoring tools/?badge late repository contain plugin use shinken check service implement usual plugin package use installation good way install plugin package manager browse package repository open build service project repository home sfl monitoring monitoring tool debian sudo echo deb /etc apt sources.list.d monitoring tools.list wget sudo apt key add release.key sudo apt update sudo apt install plugin-<the plugin want documentation browse online documentation contribute create plugin generate plugin need install jinja2 pip package manager sudo pip install jinja2 sudo apt get|yum install python jinja2 new plugin execute plugin need install library shinkenplugin sudo pip install shinkenplugin debian ubuntu sudo apt install lib shinkenplugin update debian packaging plugin pack modify file debian/ add entry changelog author=$(git log --format=%an export debfullname=$author email=$(git log --format=%ae export debemail=$email msg=$(git log --format=%s version=$(date y.%m.%e.%h.%m dch msg --no auto nmu --newversion version build debian source package package build .orig.tar.gz .debian.tar.gz .dsc .changes file push debian source package open build service obs checkout obs project commit new debian source package file maintainer obs project successfully run command travis permission
18,python wrapper lolo lolopy implement python interface lolo machine learn library lolo scala library contain variety machine learn algorithms particular focus algorithm provide robust uncertainty estimate lolopy give access algorithm scikit learn compatible interface automatically manage interface python jvm i.e. use lolopy know run jvm installation ------------ lolopy available pypi install call pip install lolopy use lolopy need install java jre 1.8 system lolopy pypi package contain compile lolo library ready use installation development ~~~~~~~~~~~ lolopy require python 3.6 java jdk 1.8 maven instal system develop lolopy develop lolopy compile lolo system maven provide makefile contain need operation build install lolopy directory use --- randomforestregressor class clearly demonstrate use lolopy class base random forest jackknife base uncertainty estimate wagner effect use variance different tree forest produce estimate uncertainty prediction algorithm simple randomforestregressor scikit learn code python lolopy.learners import randomforestregressor randomforestregressor rf.fit(x y_pred y_std rf.predict(x return_std true result code produce predict value y_pre uncertainty y_std example ./examples folder example detail need increase memory available lolopy large dataset size set maximum memory footprint jvm run machine learn calculation achieve set lolopy_jvm_memory environment variable value lolopy_jvm_memory set maximum heap size jvm oracle documentation detail example allow lolo use memory implementation performance ------------------------------ lolopy build py4j library interface lolo scala library py4j provide ability easily manage jvm server create java object jvm java method python py4j slow performance transfer large array transfer array feature e.g. training datum jvm model training evaluation transform datum byte array java python side transfer datum byte array allow quickly move datum jvm python require hold copy datum memory python java byte array java numerical array reduce memory usage pass byte array chunk currently implement performance model training comparable scikit learn show figure blue shade region figure represent time require pass training datum jvm note training time equivalent scala interface lolo lolopy training set size 100 figure ./example profile training performance.png alt train performance training performance lolopy lolo currently slow scikit learn model evaluation show figure model timing evaluate dataset size 1000 145 feature decrease model performance training set size effect number tree forest equal training set size lolopy lolo similar performance model training set size 100 training set size 100 cost send datum limit performance lolopy figure ./example profile evaluation performance.png alt evaluation performance evaluation performance detail benchmarke notebook ./examples profile scaling test.ipynb
19,open mining image target alt build status circle image target image target alt code health image alt openmining business intelligence application server write python requirements ------------ python 2.7 backend lua 5.2 luajit 5.1 oml backend mongodb admin redis queue datawarehouse bower install frontend lib nodejs depend install dependency ------- code bash sudo apt install mongodb-10gen redis server nodejs nodejs dev npm npm install bower use mac osx install dependency homebrew install open mining ------- clone repository code bash git clone install python bower dependency command code bash build faq mongodb redis server problem install mongodb redis server sure run support database example connect postgresql database sure install driver like psycopg2 openmining support database underlying orm sqlalchemy support sqlalchemy documentation info driver connection string run --- code bash python runserver python celery python scheduler running demo ------------ sure runserver run run build_demo command code bash python runserver python build_demo login username admin password admin screenshot ----------- dashboard openmining image alt dashboard openmining dashboard charts openmining image alt dashboard charts openmining dashboard charts openmining image alt dashboard charts openmining dashboard widgets openmining image alt dashboard widgets openmining late scheduler run cubes openmining image alt late scheduler run cubes openmining contribute ---------- join irc openmining freenode web access credit ------- author avelino essência thank contributor license ------- license mit license license file
20,gradient boosting machine locfit gbm framework local regresssion locfit information locfit package offer prediction bulk shear moduli give material descriptor training datum citing jong chen notestine persson ceder jain asta gamst statistical learning framework material science application elastic moduli nary inorganic polycrystalline compounds scientific report 34256 2016 doi:10.1038 srep34256](http://dx.doi.org/10.1038 srep34256
21,"travis solo image alt build status target travis solo local travis build runner travis solo write python work cpython 2.x 2.6 3.x 3.2 pypy 1.9 support operating system gnu linux usage ----- execute travis solo directory containing .travis.yml configuration file return code case success non zero case failure travis solo travis solo --help display usage information example .travis.yml file language python python 2.7 install sudo execute env var foo var bar matrix include python 2.7 env var baz script echo var var output travis solo build configuration python2.7 var u'foo run prepare environment virtualenv --distribute --python python2.7 /users project travis solo/.travis solo/2.7 running virtualenv interpreter /usr local bin python2.7 new python executable /users project travis solo/.travis solo/2.7 bin python installing distribute ........................................................................................................................................................................................................................... instal pip ................ sudo execute ignore contain sudo reference echo var var var foo build configuration python2.7 var u'bar run prepare environment sudo execute ignore contain sudo reference echo var var var bar build configuration python2.7 var u'baz run prepare environment sudo execute ignore contain sudo reference echo var var var baz build summary python2.7 var u'foo build succeed python2.7 var u'bar build succeed python2.7 var u'baz build succeed echo travis solo course run test restriction ------------ need remember local environment probably different travis apt call work intend type project support right python support configuration property before_install install before_script script after_script python matrix env travis solo set follow environmental variable travis true true travis_solo true travis_python_version= ... depend configuration command involve sudo word silently discard moment run parallel build --jobs need sure build operate project file time example python package build process use build directory store result workaround borrow change python install similar python build --build base="".build-$travis_python_version install change sure build environment operate separate build directory far build package concern copyright --------- copyright 2013 jakub stasiak source code license mit license license file detail"
22,thonny pydiderot plugin plugin qui configure thonny pour lycée diderot marseille hébergé sur pypi pour installer pip install thonny pydiderot plugin meet s:/_logiciels math python lib dan os.environ[pythonpath
23,python bind libinklevel
24,
25,ceilometer -------- overview -------- ceilometer datum collection service collect event meter datum monitor notification send openstack service publish collect datum target include datum store message queue ceilometer distribute term apache license version 2.0 term condition license detail license file ------------- documentation ------------- release note available developer documentation available launchpad projects ------------------ server code repository --------------- server bug tracking ------------ bug irc --- irc channel openstack telemetry freenode mailinglist ----------- project use mailinglist use tag ceilometer subject new thread freenode
26,kaichu plugin nytime sneeze integrate jira rest api install pip install kaichu
27,image alt license agpl-3 blog facebook comment module add facebook comment blog post installation install module need website_blog configuration configure module need create app facebook add copy appid website configuration area bug tracker bug track github issues case trouble check issue report spot help smash provide detailed welcome feedback credit contributor ------------ rafael blasco endika iglesias maintainer ---------- image alt odoo community association target module maintain oca oca odoo community association nonprofit organization mission support collaborative development odoo feature promote widespread use contribute module visit
28,mail activity file generate oca gen addon readme change overwrite |badge1| image target alt beta |badge2| image target alt license lgpl-3 |badge3| image target alt oca social |badge4| image target alt translate weblate |badge5| image target alt try runbot |badge1| |badge2| |badge3| |badge4| |badge5| module implement capability activity complete future reporting set boolean activity complete appear chatter table content content local bug tracker bug track github issues case trouble check issue report spot help smash provide detailed welcome feedback contact contributor directly support help technical issue credit author ~~~~~~~ eficent contributor ~~~~~~~~~~~~ jordi ballester maintainer ~~~~~~~~~~~ module maintain oca image alt odoo community association target oca odoo community association nonprofit organization mission support collaborative development odoo feature promote widespread use module oca social project github welcome contribute learn visit
29,pyofss python base optical fibre system simulator pyofss allow construction optical fibre system separate module typical system consist gaussian pulse generator module optical fibre module field generate propagate fibre numerical integration appropriate schrödinger type equation simulated effect include dispersion second high order attenuation self phase modulation self steepening raman scatter result field profile include multiple trace fibre module visualise range plot type include standard plot map plot dimensional waterfall plot animation video installation ------------ pyofss available pypi retrieve pip program sudo aptitude install python pip pip install pyofss import pyofss script interactive session import pyofss dependencies ------------ pyofss depend numpy scipy matplotlib instal linux distribution aptitude sudo aptitude install python numpy python scipy python matplotlib note recommend dependency version list requirements.txt file pyofss package install dependency pip pip install requirements.txt development ----------- recommend install pyofs virtual environment initialise sudo aptitude install python virtualenv sudo pip install virtualenvwrapper mkvirtualenv pyofss workon pyofss pyofss dependency satisfied pip install numpy pip install scipy sudo aptitude build dep python matplotlib pip install matplotlib install late development version pyofs github pip install daibo pyofss.git test ----- test run pyofss package python test
30,unknown
31,python transifex ---------------- python api transifex translation service api wrapper make easy communicate transifex wrapper expose underlying functionality transifex api wrapper compatible transifex community edition self host changelog --------- 0.1.7 downgrade request version ensure compatibility current code 0.1.6 update include actual requirement need install thank toshio kuratomi fix test throw invalidslugexception thank toshio kuratmi 0.1.5 add new invalidslugexception exception share base class
32,"independent component analysis python version infomax independent component analysis port installation pip install ica use ica import ica1 ica1(x n_components ica1 infomax ica function format input numpy array n_component number component estimate use example href=""ica demo.ipynb"">here</a minimum requirements numpy 1.9.2 scipy 0.15.1 prefered theano 0.7 matplotlib 1.4.3"
33,"align=""center"">welcome pyocs /h1 img alt=""pypi pypi pyocs.svg img alt=""pypi python version pypi pyversion pyocs.svg img alt=""documentation badge documentation yes brightgreen.svg img alt=""circleci circleci build berwinjoule pyocs master.svg?token=4c1b97d4844d05f7d14b9cd63b235586e06009f2 python ocs 自动化程序 python tool pyocs install 请阅读 page viewpage.action?pageid=133389700 pip3 install pyocs --user usage 请阅读 page viewpage.action?pageid=135446441 pyocs --help prerequisite 仅用于开发环境下解决依赖问题 pip install requirements.txt documentation 请阅读 display teamtvsw pyocs author tsc python team contributing contributions issue feature request welcome!<br />feel free check issue python tool pyocs issue support project help"
34,"rofi bus ~~~~~~~~~~~~~~~ image target image target image target package provide dbus foundation rofi current version skeleton api simple window switcher api potentially change drastically feature -------- plan 0.2.0 expose api spawn populate script modi rofi bus save information scripts modi split massive script modi small component pass state rofi hub setup ------------ system dependencies |rofi_source| xcb python binding preferably |xcffib_source| |rofi_source| replace rofi utility rofi_source |xcffib_source| replace xcffib xcffib_source installation code shell session pip install --user rofi bus usage ----- 0.2.0 logging help menu pretty sparse expect thing break clear reason maindbusdaemon current core rofi bus maindbusdaemon combine important feature manner implement maindbusdaemon fork daemon run background publish simple interface sessionbus wait interaction user currently resuscitate main loop kill exit cli interaction rofi bus expose simple cli manage maindbusdaemon code shell session rofi bus ~/.local bin rofi bus rofi bus daemon usage rofi bus daemon start status stop ... positional argument start status stop available action start start daemon status check status daemon stop stop daemon optional argument --help help message exit cli independent daemon restart daemon dbus interface start start daemon actually think properly watch pid file actually restart daemon stop stop daemon kill daemon process is_runne true daemon run gdbus error org.freedesktop dbus error serviceunknown daemon run load_app experimental feature attempt run executable find configure load_from directory file mark executable script able load far cursory test demonstrate ability load control simple script complicated thing like daemon reveal plan bit better probably face refactoring soon systemd integration maindbusdaemon easily run user systemd unit target bind graphical-session.target code shell session cat xdg_conf_home systemd user first.target unit description live die graphical session bindsto graphical session.target bind unit target mean dependent graphical session note path assume --user install need update rofi bus instal code shell session cat xdg_conf_home systemd user pyrofibus.service unit description rofi bus partof graphical session.target service type fork execstart=%h/.local bin rofi bus daemon start execstop=%h/.local bin rofi bus daemon stop pidfile=%h/.config wotw rofi bus/.pid install wantedby first.target start service sure work systemctl --user start pyrofibus.service assume enable run automatically systemctl --user enable pyrofibus.service finally trigger my-first.target add command startup file run execute end config file tail end .whateverrc file work code bash necessary weed dud need variable able trigger target systemctl --user import environment user home path display xauthority systemctl --user start my-first.target example app update proof concept example cast light package deficiency use grain salt thing manual plan manual forever initial setup assume instal rofi bus need create configuration directory code shell session mkdir xdg_config_home wotw rofi bus/{apps enable pid run daemon load_from config directory probably change thing code shell session path repo package example rofi alt tab total -rw r-- cjharrie cjharrie 2457 jun 13:06 -rw r-- cjharrie cjharrie 2231 jun 13:06 -rw r-- cjharrie cjharrie 4826 jun 13:06 chmod u+x example rofi alt source realpath example rofi alt awk print xdg_config_home wotw rofi bus app enable ~/.config wotw rofi bus app enable total lrwxrwxrwx cjharrie cjharrie 103 jun 18:00 snip>/examples rofi alt tab lrwxrwxrwx cjharrie cjharrie jun 18:00 snip>/examples rofi alt tab comfortable symlinke file feel like go trouble vanilla copy need expose script way generally recommend idea store script common location code shell session mkdir xdg_config_home rofi script path repo package realpath example rofi alt tab xdg_config_home rofi script launch main daemon run following command code shell session rofi bus daemon start launch example file load_from directory daemon run add file pop open repl code shell session python import pydbus bus pydbus sessionbus loader bus.get('pro.wizardsoftheweb.pyrofibus.daemon.window_properties loader.load_apps exit run modi script accessible daemon run execute add configuration code shell session run rofi -modi alttab:~/.config rofi script -show alttab add exist config export rofi_config_file=$(rofi --help awk begin ignorecase /configuration file/ print rofi_config_file rofi -dump config rofi_config_file se -i=.bak s@\([^-]modi:.*\)"";@\1,alttab:~/.config rofi script ordered_window_script.py"";@g rofi_config_file rofi -show alttab conclusion like predecessor example package infancy expect thing change work python"
35,python getversion version number python module package reliably |python versions| |build status| |test status| |codecov| |documentation| |pypi| |downloads| |download week| |github stars| documentation user available readme developer available |python versions| image target |build status| image target |tests status| image target |codecov| image target |documentation| image target |pypi| image target |downloads| image target |download week| image target |github stars| image target
36,
